,sid,gender,age,ospan_fta,cond,block,stim_type,trial,selected_ind,distance,distance_signed,near_distance,near,overlap,overlap_feedback,rt
0,42,female,18,23,active,0,men,0,0,,,,0,,,4484
1,42,female,18,23,active,0,men,1,2,2.0,2.0,2.0,1,False,False,4108
2,42,female,18,23,active,0,men,2,1,1.0,-1.0,-1.0,1,True,False,2825
3,42,female,18,23,active,0,men,3,2,1.0,1.0,1.0,1,True,True,3503
4,42,female,18,23,active,0,men,4,5,3.0,3.0,-1.0,0,True,False,3961
5,42,female,18,23,active,0,men,5,6,1.0,1.0,1.0,1,True,True,2421
6,42,female,18,23,active,0,men,6,4,2.0,-2.0,-2.0,1,False,False,8566
7,42,female,18,23,active,0,men,7,0,4.0,-4.0,-1.0,0,True,False,3163
8,42,female,18,23,active,0,men,8,5,5.0,5.0,2.0,0,False,False,3604
9,42,female,18,23,active,0,men,9,1,4.0,-4.0,-2.0,0,False,False,6976
10,42,female,18,23,active,0,men,10,4,3.0,3.0,-1.0,0,True,False,2769
11,42,female,18,23,active,0,men,11,0,4.0,-4.0,-1.0,0,True,False,3805
12,42,female,18,23,active,0,men,12,1,1.0,1.0,1.0,1,True,True,8116
13,42,female,18,23,active,0,men,13,0,1.0,-1.0,-1.0,1,True,False,4380
14,42,female,18,23,active,0,men,14,5,5.0,5.0,1.0,0,True,True,2960
15,42,female,18,23,active,0,men,15,2,3.0,-3.0,-2.0,0,False,False,3052
16,42,female,18,23,active,0,men,16,1,1.0,-1.0,-1.0,1,True,False,6337
17,42,female,18,23,active,0,men,17,2,1.0,1.0,1.0,1,True,True,4727
18,42,female,18,23,active,0,men,18,7,5.0,5.0,-2.0,0,False,False,3255
19,42,female,18,23,active,0,men,19,5,2.0,-2.0,-2.0,1,False,False,2467
20,42,female,18,23,active,0,men,20,3,2.0,-2.0,-2.0,1,False,False,6125
21,42,female,18,23,active,0,men,21,6,3.0,3.0,1.0,0,True,True,4559
22,42,female,18,23,active,0,men,22,4,2.0,-2.0,-2.0,1,False,False,3885
23,42,female,18,23,active,0,men,23,7,3.0,3.0,-1.0,0,True,False,2088
24,42,female,18,23,active,0,men,24,3,4.0,-4.0,-1.0,0,True,False,4219
25,42,female,18,23,active,0,men,25,1,2.0,-2.0,-2.0,1,False,False,5581
26,42,female,18,23,active,0,men,26,5,4.0,4.0,-1.0,0,True,False,4560
27,42,female,18,23,active,0,men,27,6,1.0,1.0,1.0,1,True,True,3456
28,42,female,18,23,active,0,men,28,1,5.0,-5.0,1.0,0,True,True,3253
29,42,female,18,23,active,0,men,29,3,2.0,2.0,2.0,1,False,False,5672
30,42,female,18,23,active,0,men,30,0,3.0,-3.0,-2.0,0,False,False,4019
31,42,female,18,23,active,0,men,31,3,3.0,3.0,1.0,0,True,True,1578
32,42,female,18,23,active,0,men,32,6,3.0,3.0,-1.0,0,True,False,1230
33,42,female,18,23,active,0,men,33,5,1.0,-1.0,-1.0,1,True,False,4773
34,42,female,18,23,active,0,men,34,0,5.0,-5.0,-2.0,0,False,False,2636
35,42,female,18,23,active,0,men,35,2,2.0,2.0,2.0,1,False,False,11738
36,42,female,18,23,active,0,men,36,3,1.0,1.0,1.0,1,True,True,6516
37,42,female,18,23,active,0,men,37,1,2.0,-2.0,-2.0,1,False,False,2746
38,42,female,18,23,active,0,men,38,6,5.0,5.0,-1.0,0,True,False,3704
39,42,female,18,23,active,0,men,39,5,1.0,-1.0,-1.0,1,True,False,3874
40,42,female,18,23,active,0,men,40,3,2.0,-2.0,-2.0,1,False,False,5628
41,42,female,18,23,active,0,men,41,4,1.0,1.0,1.0,1,True,True,2051
42,42,female,18,23,active,0,men,42,3,1.0,-1.0,-1.0,1,True,False,7844
43,42,female,18,23,active,0,men,43,7,4.0,4.0,-1.0,0,True,False,2498
44,42,female,18,23,active,0,men,44,5,2.0,-2.0,-2.0,1,False,False,6811
45,42,female,18,23,active,0,men,45,7,2.0,2.0,2.0,1,False,False,7327
46,42,female,18,23,active,0,men,46,5,2.0,-2.0,-2.0,1,False,False,6967
47,42,female,18,23,active,0,men,47,0,5.0,-5.0,-1.0,0,True,False,4030
48,42,female,18,23,active,0,men,48,6,6.0,6.0,2.0,0,False,False,4805
